epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,15845.9,1.06348,3.91327,0.34984,0.91523,1.21145,0.86407,0.8046,0.89834,0.67167,0.82685,0.71193,0.76478,0.44578,0.89152,2.78488,0.32278,0.67087,1.08435,0.007426,0.007426,0.007426
28,17584,1.06209,3.90706,0.34936,0.91478,1.20995,0.87041,0.80022,0.89858,0.67277,0.83101,0.71146,0.7638,0.44613,0.89014,2.77922,0.32225,0.66954,1.08378,0.007327,0.007327,0.007327
29,19405.7,1.06136,3.89263,0.34861,0.91364,1.20906,0.86747,0.80378,0.89916,0.67331,0.82779,0.71552,0.76682,0.44674,0.88895,2.77453,0.32188,0.66883,1.0829,0.007228,0.007228,0.007228
30,21206,1.05788,3.88663,0.34823,0.91171,1.20827,0.87003,0.79988,0.89949,0.6741,0.82852,0.71615,0.76678,0.44832,0.88772,2.76881,0.32154,0.66778,1.08198,0.007129,0.007129,0.007129
31,1789.43,1.03947,3.78245,0.34586,0.89163,1.19854,0.87441,0.79786,0.89945,0.67411,0.82605,0.71631,0.76634,0.44858,0.88669,2.76475,0.32125,0.66698,1.08114,0.00703,0.00703,0.00703
32,3528.58,1.05295,3.84803,0.34806,0.9063,1.20716,0.87551,0.79754,0.90002,0.67419,0.82501,0.71914,0.76731,0.44951,0.88531,2.76199,0.32101,0.66629,1.08021,0.006931,0.006931,0.006931
33,5294.95,1.0543,3.86273,0.34851,0.90616,1.20845,0.87152,0.79983,0.90019,0.67438,0.82482,0.72088,0.76922,0.45071,0.88424,2.75825,0.32081,0.6655,1.07942,0.006832,0.006832,0.006832
34,7025.97,1.05419,3.83819,0.34672,0.90188,1.20473,0.87077,0.80304,0.90053,0.67495,0.82788,0.72087,0.76887,0.45089,0.88352,2.75569,0.32043,0.66481,1.07925,0.006733,0.006733,0.006733
35,8756.88,1.05261,3.84553,0.34637,0.90303,1.20571,0.86976,0.80258,0.90038,0.67532,0.82989,0.72025,0.77017,0.45097,0.88285,2.75322,0.32017,0.66423,1.07877,0.006634,0.006634,0.006634
36,10488.9,1.05454,3.84079,0.34714,0.90416,1.20544,0.86725,0.80328,0.9007,0.67546,0.83083,0.72119,0.77075,0.45109,0.88258,2.75078,0.31989,0.66347,1.0784,0.006535,0.006535,0.006535
37,12220.4,1.05026,3.82817,0.34616,0.90199,1.20396,0.85934,0.8125,0.90148,0.6757,0.82932,0.72211,0.77225,0.45209,0.88225,2.74823,0.31953,0.66203,1.0781,0.006436,0.006436,0.006436
38,13951.8,1.04766,3.82588,0.34505,0.89783,1.2026,0.86123,0.81093,0.9016,0.67549,0.83229,0.72072,0.77268,0.4526,0.88233,2.74326,0.31902,0.6613,1.07797,0.006337,0.006337,0.006337
39,15682.9,1.04778,3.81141,0.34441,0.89624,1.2016,0.86006,0.81234,0.90094,0.6759,0.82653,0.72459,0.77368,0.45278,0.88176,2.7377,0.31862,0.66099,1.07728,0.006238,0.006238,0.006238
40,17412.7,1.04541,3.8075,0.34396,0.89434,1.20049,0.8616,0.8136,0.9015,0.67717,0.83624,0.71694,0.77252,0.45352,0.88066,2.73405,0.3183,0.65997,1.07652,0.006139,0.006139,0.006139
41,19143.7,1.04577,3.80194,0.34357,0.89454,1.20041,0.86437,0.81455,0.90201,0.67723,0.81827,0.72802,0.77284,0.45456,0.88012,2.72918,0.31779,0.65938,1.07563,0.00604,0.00604,0.00604
42,20879.7,1.04044,3.79472,0.34326,0.89232,1.19766,0.86548,0.81297,0.90254,0.67749,0.82431,0.7256,0.77368,0.45579,0.87909,2.72407,0.31743,0.65903,1.07461,0.005941,0.005941,0.005941
43,22678,1.04303,3.78966,0.34269,0.89385,1.19924,0.86392,0.81376,0.90297,0.67788,0.82668,0.72654,0.77439,0.45687,0.87864,2.71997,0.31713,0.65801,1.07446,0.005842,0.005842,0.005842
44,24456.3,1.0407,3.77056,0.34199,0.88703,1.19623,0.86463,0.81349,0.90316,0.67864,0.83194,0.72324,0.77429,0.45803,0.87804,2.71563,0.31667,0.65759,1.07386,0.005743,0.005743,0.005743
45,1715.8,1.01622,3.63937,0.33879,0.86179,1.18455,0.86729,0.81173,0.90372,0.67946,0.82963,0.72525,0.77451,0.45866,0.87709,2.71066,0.31643,0.65654,1.07345,0.005644,0.005644,0.005644
46,3433.9,1.02776,3.69448,0.3411,0.87345,1.19009,0.87072,0.81006,0.90415,0.67955,0.82914,0.72575,0.77462,0.45907,0.8759,2.70625,0.31609,0.65606,1.07257,0.005545,0.005545,0.005545
47,5152.22,1.02955,3.71555,0.3412,0.87628,1.19243,0.86939,0.81093,0.90414,0.67969,0.83205,0.72459,0.77511,0.46015,0.87565,2.70149,0.3158,0.65537,1.0724,0.005446,0.005446,0.005446
48,6860.82,1.02952,3.69736,0.33945,0.87193,1.18954,0.86639,0.81219,0.90422,0.67959,0.82846,0.72764,0.77615,0.46095,0.87463,2.69811,0.31559,0.65414,1.0719,0.005347,0.005347,0.005347
49,8567.25,1.02831,3.69981,0.3393,0.87309,1.19087,0.87137,0.80943,0.90439,0.67998,0.82898,0.73001,0.77795,0.46102,0.87428,2.69355,0.31533,0.65378,1.07168,0.005248,0.005248,0.005248
50,10303.6,1.02991,3.70396,0.33977,0.87356,1.19101,0.86713,0.81329,0.90473,0.68031,0.83157,0.72733,0.77732,0.4612,0.87419,2.69269,0.31499,0.65268,1.07149,0.005149,0.005149,0.005149
51,12075.8,1.02737,3.69534,0.33909,0.87163,1.18932,0.86866,0.81212,0.90478,0.68061,0.83122,0.72796,0.77729,0.46231,0.87399,2.68944,0.3147,0.65254,1.07121,0.00505,0.00505,0.00505
52,13843.1,1.02659,3.69244,0.33805,0.87202,1.18951,0.86678,0.81329,0.90499,0.68089,0.83481,0.72686,0.77751,0.46292,0.87347,2.68401,0.31428,0.65229,1.07081,0.004951,0.004951,0.004951
53,15596.7,1.02635,3.67552,0.3374,0.86697,1.18866,0.86674,0.81509,0.90541,0.68157,0.833,0.72873,0.7789,0.46384,0.8728,2.67857,0.31388,0.65143,1.07052,0.004852,0.004852,0.004852
