epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5620.38,1.32537,1.38575,1.47478,0.80889,0.75168,0.80817,0.49857,1.34718,1.08203,1.55663,0.00155149,0.00155149,0.00155149
43,5703.78,1.31664,1.3674,1.46503,0.78667,0.76719,0.82849,0.51439,1.28324,1.02982,1.50951,0.00154055,0.00154055,0.00154055
44,5785.72,1.29831,1.33141,1.45018,0.82685,0.70134,0.8335,0.52073,1.29683,1.10573,1.50141,0.00152961,0.00152961,0.00152961
45,5866.1,1.28794,1.32438,1.44007,0.77401,0.77006,0.8267,0.51146,1.2936,1.0784,1.51408,0.00151867,0.00151867,0.00151867
46,5946.45,1.28442,1.31179,1.43737,0.81426,0.76846,0.83255,0.52025,1.3147,1.10288,1.53666,0.00150773,0.00150773,0.00150773
47,6026.66,1.29238,1.31956,1.45325,0.75673,0.79332,0.83953,0.51063,1.31961,1.01917,1.52388,0.0014968,0.0014968,0.0014968
48,6106.76,1.27178,1.28677,1.44381,0.82226,0.7349,0.82705,0.50843,1.3339,1.06137,1.54903,0.00148586,0.00148586,0.00148586
49,6187.11,1.28319,1.31091,1.44567,0.84456,0.72148,0.82876,0.5227,1.32286,1.19634,1.52517,0.00147492,0.00147492,0.00147492
50,6267.22,1.2913,1.28497,1.44248,0.83931,0.73613,0.84868,0.5379,1.26146,1.04909,1.49694,0.00146398,0.00146398,0.00146398
51,6347.75,1.2649,1.31905,1.42858,0.85449,0.76174,0.83589,0.53192,1.34627,1.18075,1.53533,0.00145304,0.00145304,0.00145304
52,6431.46,1.26578,1.27968,1.42928,0.80367,0.78859,0.83437,0.5246,1.30977,1.03435,1.52781,0.0014421,0.0014421,0.0014421
53,6517.23,1.26842,1.27222,1.42285,0.78804,0.78188,0.83528,0.52257,1.27134,0.9819,1.48546,0.00143116,0.00143116,0.00143116
54,6602.35,1.24955,1.22627,1.41856,0.83046,0.73154,0.86533,0.5403,1.28486,0.90655,1.49644,0.00142022,0.00142022,0.00142022
55,6686.34,1.23522,1.25276,1.39836,0.82807,0.77852,0.86293,0.52706,1.31592,1.01577,1.51801,0.00140928,0.00140928,0.00140928
56,6769.65,1.26294,1.26667,1.42685,0.83988,0.79206,0.86314,0.54355,1.29414,1.02242,1.49393,0.00139834,0.00139834,0.00139834
57,6853.18,1.231,1.23994,1.41224,0.86852,0.75367,0.87769,0.55218,1.26504,0.8882,1.47115,0.0013874,0.0013874,0.0013874
58,6936.5,1.22809,1.23193,1.40013,0.83993,0.75839,0.85521,0.5422,1.26295,0.98652,1.48792,0.00137646,0.00137646,0.00137646
59,7020.36,1.22437,1.20338,1.39251,0.85612,0.77181,0.87324,0.55183,1.21911,0.97448,1.48221,0.00136552,0.00136552,0.00136552
60,7103.52,1.22973,1.20253,1.39573,0.82726,0.72819,0.81903,0.51934,1.24506,0.93065,1.48505,0.00135459,0.00135459,0.00135459
61,7186.84,1.21926,1.19585,1.39443,0.87528,0.77716,0.86519,0.54631,1.29039,0.92256,1.50933,0.00134365,0.00134365,0.00134365
62,7270.04,1.20814,1.19979,1.38968,0.89309,0.75688,0.88487,0.56361,1.2278,0.87678,1.47986,0.00133271,0.00133271,0.00133271
